f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	pred	pred	SVM(minus)	SVM(plus)	Random Forest(minus)	Random Forest(plus)	kNN(minus)	kNN(plus)	SVM	Random Forest	kNN
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	-1.000000000000000000e+00 1.000000000000000000e+00	minus plus	continuous	continuous	continuous	continuous	continuous	continuous	minus plus	minus plus	minus plus
																												class	meta	meta	meta	meta	meta	meta	meta	meta	meta
-0.76	0.128058	0.00562821	-0.673469	0.101866	0.00352836	-0.679012	0.0836696	0.00318464	-0.677686	0.0788076	0.00280653	-0.64497	0.075118	0.00265944	-0.631111	0.0775966	0.00251065	-0.650519	0.0809854	0.00283907	-0.65651	0.0801985	0.00264449	-0.664399	0.079857	0.00264021	~	?	0.922	0.078	0.843	0.157	0.325	0.675	minus	minus	plus
-0.2	0.0526593	0.00108736	-0.285714	0.0798451	0.00251363	-0.345679	0.0832404	0.00271873	-0.363636	0.0752221	0.00196183	-0.384615	0.0711162	0.00173092	-0.431111	0.072492	0.00171799	-0.480969	0.0729417	0.00214852	-0.529086	0.0741079	0.00216279	-0.571429	0.0746517	0.00206281	~	?	0.995	0.005	0.462	0.538	0.901	0.099	minus	plus	minus
-0.92	0.108651	0.00198022	-0.755102	0.100832	0.00196452	-0.506173	0.0844264	0.00198797	-0.38843	0.0763828	0.0016875	-0.337278	0.0753134	0.00183651	-0.315556	0.0744782	0.00174444	-0.307958	0.07469	0.00183986	-0.313019	0.0724923	0.00183947	-0.331066	0.0732052	0.00205785	~	?	0.006	0.994	0.060	0.940	0.000	1.000	plus	plus	plus
-0.4	0.139882	0.0103125	-0.183673	0.146141	0.00811264	-0.0864198	0.125416	0.00635039	-0.0413223	0.112372	0.00678034	0	0.105946	0.0066753	0.0577778	0.0979123	0.00674939	0.0968858	0.0915603	0.00658485	0.119114	0.0863735	0.00624559	0.131519	0.0839994	0.00592092	~	?	0.940	0.060	0.903	0.097	0.797	0.203	minus	minus	minus
-1	0.129539	0.00273128	-0.795918	0.122352	0.00367293	-0.679012	0.109974	0.0041655	-0.619835	0.0990728	0.00430508	-0.591716	0.0887746	0.00438887	-0.586667	0.0822017	0.00412196	-0.602076	0.0798303	0.00389446	-0.623269	0.0758357	0.00370729	-0.634921	0.0698548	0.00344556	~	?	0.007	0.993	0.335	0.665	0.000	1.000	plus	plus	plus
-0.88	0.123076	0.0038142	-0.938776	0.103839	0.00385504	-0.728395	0.0891471	0.00314064	-0.619835	0.0869657	0.00260388	-0.585799	0.089473	0.00323983	-0.582222	0.0951224	0.00345255	-0.570934	0.0951685	0.00351273	-0.542936	0.0903102	0.0031516	-0.528345	0.0843495	0.00309987	~	?	0.913	0.087	0.695	0.305	0.970	0.030	minus	minus	minus
-0.68	0.103803	0.00144798	-0.428571	0.0948096	0.00163937	-0.308642	0.0833265	0.00148106	-0.289256	0.0724803	0.0015981	-0.278107	0.0702731	0.00179831	-0.324444	0.0687758	0.0018559	-0.363322	0.0640069	0.00179058	-0.368421	0.0625249	0.00176624	-0.365079	0.0619037	0.0018347	~	?	0.021	0.979	0.065	0.935	0.000	1.000	plus	plus	plus
0	0	0	0	0	0	0	0.00123806	2.10512e-005	0	0.00976171	0.00045214	-0.0177515	0.0257008	0.00213981	-0.08	0.0409652	0.00489788	-0.128028	0.0468992	0.00534957	-0.160665	0.0452135	0.00445963	-0.199546	0.0434567	0.00410187	~	?	0.954	0.046	0.995	0.005	1.000	0.000	minus	minus	minus
