@relation 'training-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.rules.ZeroR-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28'

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute aa numeric
@attribute bb {1,-1}

@data
-1,0.058096,0.000277,-1,0.052545,0.000518,-1,0.04832,0.000623,-1,0.044469,0.000804,-0.976331,0.046216,0.000849,-0.955556,0.047821,0.000906,-0.923875,0.048787,0.000853,-0.900277,0.049861,0.000959,-0.868481,0.052228,0.001126,-1
-0.04,0.048492,0.000965,0.183673,0.052993,0.001476,0.358025,0.049495,0.001261,0.454545,0.042198,0.001095,0.526627,0.039503,0.000967,0.573333,0.035635,0.000933,0.612457,0.033178,0.000854,0.639889,0.031038,0.000769,0.641723,0.029184,0.00069,1
-0.76,0.095369,0.003882,-0.632653,0.091336,0.002681,-0.666667,0.088125,0.003088,-0.719008,0.106377,0.003349,-0.680473,0.112578,0.003878,-0.577778,0.103961,0.003386,-0.550173,0.093322,0.00332,-0.529086,0.087894,0.003402,-0.53288,0.08397,0.003328,-1
-0.84,0.056728,0.000426,-0.877551,0.047907,0.000536,-0.901235,0.051826,0.000598,-0.917355,0.064449,0.000949,-0.928994,0.074028,0.001555,-0.871111,0.074955,0.001585,-0.785467,0.072818,0.001433,-0.722992,0.071104,0.001551,-0.648526,0.071115,0.00158,-1
-1,0.038895,0.000158,-1,0.036252,0.000312,-1,0.040408,0.00041,-1,0.043335,0.000468,-1,0.043433,0.000552,-0.968889,0.045044,0.000868,-0.934256,0.046713,0.001048,-0.908587,0.049656,0.00132,-0.897959,0.052597,0.001571,-1
-1,0.082805,0.002453,-1,0.076259,0.00187,-1,0.080449,0.00272,-0.900826,0.103585,0.005264,-0.739645,0.105025,0.004445,-0.577778,0.09556,0.003782,-0.484429,0.090603,0.004041,-0.423823,0.088398,0.004208,-0.367347,0.086849,0.004413,-1
-0.76,0.115754,0.002567,-0.673469,0.11198,0.003195,-0.62963,0.112654,0.003455,-0.504132,0.097836,0.003052,-0.408284,0.084278,0.003177,-0.311111,0.079472,0.003365,-0.214533,0.073378,0.003221,-0.127424,0.067678,0.003213,-0.045351,0.065728,0.003311,1
-1,0.063613,0.000338,-1,0.074506,0.001315,-0.950617,0.080737,0.001828,-0.834711,0.075363,0.001584,-0.792899,0.07103,0.001631,-0.733333,0.075371,0.001977,-0.692042,0.074445,0.001917,-0.692521,0.071817,0.001817,-0.705215,0.069901,0.001771,-1
-1,0.064847,0.001294,-1,0.062835,0.001369,-1,0.065793,0.001767,-0.917355,0.072173,0.002386,-0.822485,0.067591,0.001922,-0.742222,0.069487,0.001781,-0.681661,0.072067,0.001671,-0.612188,0.070739,0.001653,-0.55102,0.068535,0.001633,1
-1,0.06035,0.000599,-1,0.066003,0.001351,-0.925926,0.075638,0.001895,-0.826446,0.080733,0.001752,-0.715976,0.08399,0.002137,-0.648889,0.084867,0.002344,-0.564014,0.085396,0.002267,-0.509695,0.085138,0.00247,-0.482993,0.085841,0.002769,1
-0.88,0.069259,0.00072,-0.938776,0.07647,0.002444,-0.851852,0.077229,0.002271,-0.694215,0.072033,0.001889,-0.585799,0.072225,0.0024,-0.493333,0.075885,0.003317,-0.439446,0.079396,0.004243,-0.404432,0.081853,0.004848,-0.405896,0.078831,0.00406,-1
-0.92,0.096241,0.00256,-0.755102,0.088793,0.003278,-0.666667,0.082698,0.003845,-0.586777,0.079185,0.004415,-0.526627,0.077174,0.004435,-0.484444,0.075407,0.004213,-0.449827,0.071547,0.003873,-0.429363,0.067699,0.003557,-0.401361,0.065724,0.003283,1
-1,0.107787,0.002915,-1,0.098457,0.002904,-0.901235,0.09404,0.003232,-0.801653,0.098983,0.003612,-0.715976,0.095196,0.003609,-0.711111,0.091801,0.003688,-0.712803,0.088129,0.003287,-0.703601,0.090982,0.003275,-0.662132,0.092578,0.003438,-1
