"plz,","country,","count,","total,",ratio
129771,196,69,69,1.0
819100,458,132,132,1.0
547653,677,70,70,1.0
970121,884,14,14,1.0
938870,630,79,79,1.0
525855,598,77,77,1.0
709215,403,25,25,1.0
271719,758,57,57,1.0
293304,458,61,61,1.0
128898,897,50,50,1.0
656774,985,69,69,1.0
919021,630,85,85,1.0
176555,984,112,112,1.0
716752,984,74,74,1.0
690545,677,84,84,1.0
121410,458,117,117,1.0
813312,458,135,135,1.0
812621,984,48,48,1.0
158955,196,8,8,1.0
955722,985,79,79,1.0
991610,984,109,109,1.0
615978,630,100,100,1.0
380641,677,42,42,1.0
209838,630,43,43,1.0
675026,403,54,54,1.0
801473,884,12,12,1.0
281181,897,63,63,1.0
991248,985,41,41,1.0
965126,984,60,60,1.0
605467,985,79,79,1.0
474829,984,6,6,1.0
816398,897,99,99,1.0
153713,196,86,86,1.0
876413,897,61,61,1.0
149097,984,93,93,1.0
106453,458,91,91,1.0
215204,598,74,74,1.0
525687,598,45,45,1.0
125467,658,30,30,1.0
816829,897,60,60,1.0
318294,458,105,105,1.0
217711,581,55,55,1.0
542537,458,58,58,1.0
502706,897,48,48,1.0
105089,677,74,74,1.0
797774,985,41,41,1.0
143582,630,60,60,1.0
663110,458,132,132,1.0
761356,985,81,81,1.0
418297,630,72,72,1.0
753723,677,62,62,1.0
132414,677,79,79,1.0
304986,985,70,70,1.0
476777,985,79,79,1.0
777393,677,9,9,1.0
615621,984,103,103,1.0
464888,984,133,133,1.0
240701,985,55,55,1.0
853764,897,55,55,1.0
253321,581,49,49,1.0
807196,598,75,75,1.0
995492,984,40,40,1.0
485675,758,60,60,1.0
159418,677,98,98,1.0
562629,985,70,70,1.0
450193,677,51,51,1.0
854103,984,12,12,1.0
866713,658,63,63,1.0
437751,677,74,74,1.0
604652,630,108,108,1.0
854475,789,52,52,1.0
285937,598,10,10,1.0
746373,598,81,81,1.0
432979,984,50,50,1.0
130650,897,40,40,1.0
865042,458,57,57,1.0
452391,598,12,12,1.0
943182,897,46,46,1.0
587045,758,51,51,1.0
712031,658,53,53,1.0
112478,630,12,12,1.0
822388,758,15,15,1.0
827552,403,10,10,1.0
796104,630,49,49,1.0
215040,196,81,81,1.0
633619,985,45,45,1.0
116619,897,72,72,1.0
971812,196,10,10,1.0
363075,758,8,8,1.0
308594,630,46,46,1.0
284527,458,43,43,1.0
372492,630,16,16,1.0
271273,884,7,7,1.0
354000,658,48,48,1.0
557548,758,53,53,1.0
330224,897,17,17,1.0
321393,984,30,30,1.0
160853,677,16,16,1.0
896562,985,54,54,1.0
727492,985,54,54,1.0
363115,658,7,7,1.0
340445,630,9,9,1.0
989888,758,17,17,1.0
823179,458,39,39,1.0
833998,564,10,10,1.0
929436,658,1,1,1.0
306587,196,9,9,1.0
687982,658,10,10,1.0
937651,403,11,11,1.0
189262,884,2,2,1.0
969046,789,9,9,1.0
465437,984,9,9,1.0
323825,598,10,10,1.0
583197,564,5,5,1.0
405344,677,10,10,1.0
120595,789,9,9,1.0
599345,758,9,9,1.0
177683,884,2,2,1.0
975496,458,5,5,1.0
851177,564,9,9,1.0
704817,677,13,13,1.0
918910,884,1,1,1.0
